Date,EUR/NOK
2016-05-10,9.3520
2016-05-11,9.3475
2016-05-12,9.2320
2016-05-13,9.2678
2016-05-16,9.2370
2016-05-17,9.2558
2016-05-18,9.2785
2016-05-19,9.3593
2016-05-20,9.3355
2016-05-23,9.3658
2016-05-24,9.3355
2016-05-25,9.2945
2016-05-26,9.2470
2016-05-27,9.2820
2016-05-30,9.3025
2016-05-31,9.3200
2016-06-01,9.3083
2016-06-02,9.3360
2016-06-03,9.2853
2016-06-06,9.2935
2016-06-07,9.2225
2016-06-08,9.2055
2016-06-09,9.2489
2016-06-10,9.2725
2016-06-13,9.3265
2016-06-14,9.3655
2016-06-15,9.3415
2016-06-16,9.3798
2016-06-17,9.4310
2016-06-20,9.3575
2016-06-21,9.3718
2016-06-22,9.3555
2016-06-23,9.2993
2016-06-24,9.4200
2016-06-27,9.4045
2016-06-28,9.3785
2016-06-29,9.3065
2016-06-30,9.3008
2016-07-01,9.2975
2016-07-04,9.2538
2016-07-05,9.3197
2016-07-06,9.3517
2016-07-07,9.3782
2016-07-08,9.3930
2016-07-11,9.4061
2016-07-12,9.3499
2016-07-13,9.3145
2016-07-14,9.3247
2016-07-15,9.3183
2016-07-18,9.3627
2016-07-19,9.3489
2016-07-20,9.3552
2016-07-21,9.3541
2016-07-22,9.3847
2016-07-25,9.4102
2016-07-26,9.4370
2016-07-27,9.4387
2016-07-28,9.4405
2016-07-29,9.5092
2016-08-01,9.4455
2016-08-02,9.4363
2016-08-03,9.4236
2016-08-04,9.4118
2016-08-05,9.4022
2016-08-08,9.4065
2016-08-09,9.3570
2016-08-10,9.2571
2016-08-11,9.2293
2016-08-12,9.1635
2016-08-15,9.1752
2016-08-16,9.2101
2016-08-17,9.2812
2016-08-18,9.2389
2016-08-19,9.3048
2016-08-22,9.3281
2016-08-23,9.2875
2016-08-24,9.2460
2016-08-25,9.2771
2016-08-26,9.2501
2016-08-29,9.2731
2016-08-30,9.2873
2016-08-31,9.2765
2016-09-01,9.3050
2016-09-02,9.3170
2016-09-05,9.2458
2016-09-06,9.2113
2016-09-07,9.1943
2016-09-08,9.1950
2016-09-09,9.2470
2016-09-12,9.2713
2016-09-13,9.2315
2016-09-14,9.2748
2016-09-15,9.2648
2016-09-16,9.2625
2016-09-19,9.2505
2016-09-20,9.2648
2016-09-21,9.2318
2016-09-22,9.1073
2016-09-23,9.1028
2016-09-26,9.1318
2016-09-27,9.1108
2016-09-28,9.0888
2016-09-29,9.0403
2016-09-30,8.9865
2016-10-03,8.9625
2016-10-04,8.9175
2016-10-05,8.9872
2016-10-06,8.9938
2016-10-07,9.0010
2016-10-10,9.0448
2016-10-11,9.0395
2016-10-12,9.0290
2016-10-13,9.0768
2016-10-14,9.0248
2016-10-17,9.0315
2016-10-18,8.9565
2016-10-19,8.9585
2016-10-20,8.9625
2016-10-21,8.9538
2016-10-24,8.9855
2016-10-25,8.9868
2016-10-26,9.0425
2016-10-27,8.9858
2016-10-28,9.0445
2016-10-31,9.0345
2016-11-01,9.0213
2016-11-02,9.0735
2016-11-03,9.0575
2016-11-04,9.1098
2016-11-07,9.1035
2016-11-08,9.0753
2016-11-09,9.1193
2016-11-10,9.0733
2016-11-11,9.1148
2016-11-14,9.1350
2016-11-15,9.0848
2016-11-16,9.0720
2016-11-17,9.0878
2016-11-18,9.1038
2016-11-21,9.0843
2016-11-22,9.0563
2016-11-23,9.0680
2016-11-24,9.0858
2016-11-25,9.0690
2016-11-28,9.0848
2016-11-29,9.0765
2016-11-30,9.0190
2016-12-01,8.9628
2016-12-02,8.9860
2016-12-05,8.9840
2016-12-06,8.9803
2016-12-07,8.9908
2016-12-08,9.0145
2016-12-09,8.9805
2016-12-12,8.9498
2016-12-13,8.9495
2016-12-14,9.0223
2016-12-15,8.9993
2016-12-16,9.0623
2016-12-19,9.0485
2016-12-20,9.0343
2016-12-21,9.0260
2016-12-22,9.0975
2016-12-23,9.0928
2016-12-27,9.1078
2016-12-28,9.0777
2016-12-29,9.0758
2016-12-30,9.0863
2017-01-02,9.0543
2017-01-03,9.0013
2017-01-04,8.9905
2017-01-05,9.0215
2017-01-06,8.9868
2017-01-09,9.0193
2017-01-10,9.0750
2017-01-11,9.0633
2017-01-12,9.0625
2017-01-13,9.0580
2017-01-16,9.0558
2017-01-17,9.0360
2017-01-18,9.0330
2017-01-19,9.0193
2017-01-20,8.9990
2017-01-23,8.9940
2017-01-24,8.9578
2017-01-25,8.9453
2017-01-26,8.9215
2017-01-27,8.9190
2017-01-30,8.8758
2017-01-31,8.8880
2017-02-01,8.8830
2017-02-02,8.8575
2017-02-03,8.8568
2017-02-06,8.8460
2017-02-07,8.8838
2017-02-08,8.8835
2017-02-09,8.8860
2017-02-10,8.9065
2017-02-13,8.9018
2017-02-14,8.8790
2017-02-15,8.8523
2017-02-16,8.8690
2017-02-17,8.8645
2017-02-20,8.8568
2017-02-21,8.8138
2017-02-22,8.8153
2017-02-23,8.8070
2017-02-24,8.8365
2017-02-27,8.8383
2017-02-28,8.8693
2017-03-01,8.8618
2017-03-02,8.8830
2017-03-03,8.9303
2017-03-06,8.9673
2017-03-07,8.9443
2017-03-08,8.9513
2017-03-09,9.0458
2017-03-10,9.1405
2017-03-13,9.1298
2017-03-14,9.1510
2017-03-15,9.1353
2017-03-16,9.1588
2017-03-17,9.1023
2017-03-20,9.1278
2017-03-21,9.1253
2017-03-22,9.1463
2017-03-23,9.1478
2017-03-24,9.1793
2017-03-27,9.2188
2017-03-28,9.2380
2017-03-29,9.1908
2017-03-30,9.1695
2017-03-31,9.1683
2017-04-03,9.1468
2017-04-04,9.1790
2017-04-05,9.1665
2017-04-06,9.1688
2017-04-07,9.1583
2017-04-10,9.1443
2017-04-11,9.1245
2017-04-12,9.1035
2017-04-13,9.1033
2017-04-18,9.1093
2017-04-19,9.1528
2017-04-20,9.2120
2017-04-21,9.2478
2017-04-24,9.2450
2017-04-25,9.3158
2017-04-26,9.3485
2017-04-27,9.3367
2017-04-28,9.3243
2017-05-02,9.3780
2017-05-03,9.3878
2017-05-04,9.4803
2017-05-05,9.5023
2017-05-08,9.4465
2017-05-09,9.4138
2017-05-10,9.4435
2017-05-11,9.3330
2017-05-12,9.3665
2017-05-15,9.3325
2017-05-16,9.3918
2017-05-17,9.3708
2017-05-18,9.4113
2017-05-19,9.3923
2017-05-22,9.3723
2017-05-23,9.3760
2017-05-24,9.3843
2017-05-25,9.3330
2017-05-26,9.4018
2017-05-29,9.4065
2017-05-30,9.4398
2017-05-31,9.4388
2017-06-01,9.4895
2017-06-02,9.4918
2017-06-05,9.4890
2017-06-06,9.5158
2017-06-07,9.5023
2017-06-08,9.5233
2017-06-09,9.5218
2017-06-12,9.4985
2017-06-13,9.4540
2017-06-14,9.4140
2017-06-15,9.4718
2017-06-16,9.4615
2017-06-19,9.4518
2017-06-20,9.4930
2017-06-21,9.5158
2017-06-22,9.4855
2017-06-23,9.4613
2017-06-26,9.4788
2017-06-27,9.5200
2017-06-28,9.6020
2017-06-29,9.5700
2017-06-30,9.5713
2017-07-03,9.5065
2017-07-04,9.4850
2017-07-05,9.4965
2017-07-06,9.5298
2017-07-07,9.5613
2017-07-10,9.5165
2017-07-11,9.5120
2017-07-12,9.4688
2017-07-13,9.4518
2017-07-14,9.3843
2017-07-17,9.3558
2017-07-18,9.3065
2017-07-19,9.3018
2017-07-20,9.3000
2017-07-21,9.3315
2017-07-24,9.3525
2017-07-25,9.3035
2017-07-26,9.2893
2017-07-27,9.2978
2017-07-28,9.3195
2017-07-31,9.3050
2017-08-01,9.3343
2017-08-02,9.3505
2017-08-03,9.3768
2017-08-04,9.3618
2017-08-07,9.3800
2017-08-08,9.3225
2017-08-09,9.3398
2017-08-10,9.3355
2017-08-11,9.3975
2017-08-14,9.3478
2017-08-15,9.3538
2017-08-16,9.3115
2017-08-17,9.3243
2017-08-18,9.3183
2017-08-21,9.2903
2017-08-22,9.3023
2017-08-23,9.3130
2017-08-24,9.2585
2017-08-25,9.2278
2017-08-28,9.2620
2017-08-29,9.2915
